"GEOGRAPHY_CODE"	"RURAL_URBAN"	"CELL"	"OBS_VALUE"
"E02002330"	"0"	"7"	1736
"E02002330"	"0"	"8"	743
"E02002330"	"0"	"9"	224
"E02002330"	"0"	"10"	106
"E02002330"	"0"	"11"	13
"E02002330"	"0"	"12"	7
"E02002330"	"0"	"13"	0
"E02002331"	"0"	"7"	597
"E02002331"	"0"	"8"	797
"E02002331"	"0"	"9"	734
"E02002331"	"0"	"10"	596
"E02002331"	"0"	"11"	40
"E02002331"	"0"	"12"	30
"E02002331"	"0"	"13"	1
"E02002332"	"0"	"7"	563
"E02002332"	"0"	"8"	1156
"E02002332"	"0"	"9"	522
"E02002332"	"0"	"10"	314
"E02002332"	"0"	"11"	26
"E02002332"	"0"	"12"	9
"E02002332"	"0"	"13"	0
"E02002333"	"0"	"7"	424
"E02002333"	"0"	"8"	1148
"E02002333"	"0"	"9"	1560
"E02002333"	"0"	"10"	383
"E02002333"	"0"	"11"	98
"E02002333"	"0"	"12"	118
"E02002333"	"0"	"13"	25
"E02002334"	"0"	"7"	1363
"E02002334"	"0"	"8"	1016
"E02002334"	"0"	"9"	636
"E02002334"	"0"	"10"	178
"E02002334"	"0"	"11"	49
"E02002334"	"0"	"12"	35
"E02002334"	"0"	"13"	2
"E02002335"	"0"	"7"	1949
"E02002335"	"0"	"8"	765
"E02002335"	"0"	"9"	332
"E02002335"	"0"	"10"	170
"E02002335"	"0"	"11"	33
"E02002335"	"0"	"12"	18
"E02002335"	"0"	"13"	4
"E02002336"	"0"	"7"	1353
"E02002336"	"0"	"8"	856
"E02002336"	"0"	"9"	455
"E02002336"	"0"	"10"	143
"E02002336"	"0"	"11"	59
"E02002336"	"0"	"12"	14
"E02002336"	"0"	"13"	43
"E02002337"	"0"	"7"	894
"E02002337"	"0"	"8"	1038
"E02002337"	"0"	"9"	452
"E02002337"	"0"	"10"	385
"E02002337"	"0"	"11"	45
"E02002337"	"0"	"12"	19
"E02002337"	"0"	"13"	107
"E02002338"	"0"	"7"	490
"E02002338"	"0"	"8"	1090
"E02002338"	"0"	"9"	973
"E02002338"	"0"	"10"	353
"E02002338"	"0"	"11"	38
"E02002338"	"0"	"12"	35
"E02002338"	"0"	"13"	0
"E02002339"	"0"	"7"	223
"E02002339"	"0"	"8"	881
"E02002339"	"0"	"9"	864
"E02002339"	"0"	"10"	610
"E02002339"	"0"	"11"	49
"E02002339"	"0"	"12"	40
"E02002339"	"0"	"13"	4
"E02002340"	"0"	"7"	225
"E02002340"	"0"	"8"	1204
"E02002340"	"0"	"9"	891
"E02002340"	"0"	"10"	234
"E02002340"	"0"	"11"	34
"E02002340"	"0"	"12"	18
"E02002340"	"0"	"13"	0
"E02002341"	"0"	"7"	1047
"E02002341"	"0"	"8"	1519
"E02002341"	"0"	"9"	39
"E02002341"	"0"	"10"	480
"E02002341"	"0"	"11"	17
"E02002341"	"0"	"12"	24
"E02002341"	"0"	"13"	0
"E02002342"	"0"	"7"	372
"E02002342"	"0"	"8"	1593
"E02002342"	"0"	"9"	349
"E02002342"	"0"	"10"	291
"E02002342"	"0"	"11"	18
"E02002342"	"0"	"12"	6
"E02002342"	"0"	"13"	0
"E02002343"	"0"	"7"	389
"E02002343"	"0"	"8"	1177
"E02002343"	"0"	"9"	786
"E02002343"	"0"	"10"	132
"E02002343"	"0"	"11"	7
"E02002343"	"0"	"12"	13
"E02002343"	"0"	"13"	0
"E02002344"	"0"	"7"	1067
"E02002344"	"0"	"8"	1326
"E02002344"	"0"	"9"	139
"E02002344"	"0"	"10"	952
"E02002344"	"0"	"11"	55
"E02002344"	"0"	"12"	3
"E02002344"	"0"	"13"	0
"E02002345"	"0"	"7"	1374
"E02002345"	"0"	"8"	465
"E02002345"	"0"	"9"	181
"E02002345"	"0"	"10"	346
"E02002345"	"0"	"11"	29
"E02002345"	"0"	"12"	7
"E02002345"	"0"	"13"	1
"E02002346"	"0"	"7"	328
"E02002346"	"0"	"8"	1549
"E02002346"	"0"	"9"	282
"E02002346"	"0"	"10"	582
"E02002346"	"0"	"11"	27
"E02002346"	"0"	"12"	20
"E02002346"	"0"	"13"	0
"E02002347"	"0"	"7"	303
"E02002347"	"0"	"8"	1460
"E02002347"	"0"	"9"	119
"E02002347"	"0"	"10"	874
"E02002347"	"0"	"11"	42
"E02002347"	"0"	"12"	19
"E02002347"	"0"	"13"	1
"E02002348"	"0"	"7"	489
"E02002348"	"0"	"8"	1546
"E02002348"	"0"	"9"	101
"E02002348"	"0"	"10"	619
"E02002348"	"0"	"11"	35
"E02002348"	"0"	"12"	23
"E02002348"	"0"	"13"	0
"E02002349"	"0"	"7"	529
"E02002349"	"0"	"8"	839
"E02002349"	"0"	"9"	282
"E02002349"	"0"	"10"	749
"E02002349"	"0"	"11"	268
"E02002349"	"0"	"12"	20
"E02002349"	"0"	"13"	0
"E02002350"	"0"	"7"	958
"E02002350"	"0"	"8"	1018
"E02002350"	"0"	"9"	336
"E02002350"	"0"	"10"	218
"E02002350"	"0"	"11"	60
"E02002350"	"0"	"12"	43
"E02002350"	"0"	"13"	0
"E02002351"	"0"	"7"	1124
"E02002351"	"0"	"8"	923
"E02002351"	"0"	"9"	218
"E02002351"	"0"	"10"	30
"E02002351"	"0"	"11"	20
"E02002351"	"0"	"12"	7
"E02002351"	"0"	"13"	3
"E02002352"	"0"	"7"	424
"E02002352"	"0"	"8"	1776
"E02002352"	"0"	"9"	74
"E02002352"	"0"	"10"	753
"E02002352"	"0"	"11"	153
"E02002352"	"0"	"12"	28
"E02002352"	"0"	"13"	2
"E02002353"	"0"	"7"	308
"E02002353"	"0"	"8"	1577
"E02002353"	"0"	"9"	181
"E02002353"	"0"	"10"	153
"E02002353"	"0"	"11"	48
"E02002353"	"0"	"12"	11
"E02002353"	"0"	"13"	0
"E02002354"	"0"	"7"	299
"E02002354"	"0"	"8"	2167
"E02002354"	"0"	"9"	139
"E02002354"	"0"	"10"	771
"E02002354"	"0"	"11"	27
"E02002354"	"0"	"12"	18
"E02002354"	"0"	"13"	0
"E02002356"	"0"	"7"	568
"E02002356"	"0"	"8"	1493
"E02002356"	"0"	"9"	775
"E02002356"	"0"	"10"	356
"E02002356"	"0"	"11"	106
"E02002356"	"0"	"12"	24
"E02002356"	"0"	"13"	0
"E02002357"	"0"	"7"	343
"E02002357"	"0"	"8"	1622
"E02002357"	"0"	"9"	994
"E02002357"	"0"	"10"	633
"E02002357"	"0"	"11"	76
"E02002357"	"0"	"12"	27
"E02002357"	"0"	"13"	1
"E02002358"	"0"	"7"	569
"E02002358"	"0"	"8"	1030
"E02002358"	"0"	"9"	1185
"E02002358"	"0"	"10"	410
"E02002358"	"0"	"11"	8
"E02002358"	"0"	"12"	13
"E02002358"	"0"	"13"	2
"E02002359"	"0"	"7"	1278
"E02002359"	"0"	"8"	976
"E02002359"	"0"	"9"	385
"E02002359"	"0"	"10"	175
"E02002359"	"0"	"11"	31
"E02002359"	"0"	"12"	17
"E02002359"	"0"	"13"	1
"E02002360"	"0"	"7"	520
"E02002360"	"0"	"8"	1409
"E02002360"	"0"	"9"	516
"E02002360"	"0"	"10"	472
"E02002360"	"0"	"11"	68
"E02002360"	"0"	"12"	25
"E02002360"	"0"	"13"	0
"E02002361"	"0"	"7"	367
"E02002361"	"0"	"8"	1178
"E02002361"	"0"	"9"	271
"E02002361"	"0"	"10"	535
"E02002361"	"0"	"11"	178
"E02002361"	"0"	"12"	29
"E02002361"	"0"	"13"	0
"E02002362"	"0"	"7"	254
"E02002362"	"0"	"8"	1754
"E02002362"	"0"	"9"	628
"E02002362"	"0"	"10"	958
"E02002362"	"0"	"11"	77
"E02002362"	"0"	"12"	21
"E02002362"	"0"	"13"	0
"E02002363"	"0"	"7"	224
"E02002363"	"0"	"8"	1254
"E02002363"	"0"	"9"	964
"E02002363"	"0"	"10"	634
"E02002363"	"0"	"11"	298
"E02002363"	"0"	"12"	47
"E02002363"	"0"	"13"	0
"E02002364"	"0"	"7"	59
"E02002364"	"0"	"8"	1494
"E02002364"	"0"	"9"	385
"E02002364"	"0"	"10"	801
"E02002364"	"0"	"11"	24
"E02002364"	"0"	"12"	5
"E02002364"	"0"	"13"	1
"E02002366"	"0"	"7"	591
"E02002366"	"0"	"8"	1447
"E02002366"	"0"	"9"	299
"E02002366"	"0"	"10"	508
"E02002366"	"0"	"11"	121
"E02002366"	"0"	"12"	8
"E02002366"	"0"	"13"	0
"E02002367"	"0"	"7"	220
"E02002367"	"0"	"8"	1006
"E02002367"	"0"	"9"	850
"E02002367"	"0"	"10"	525
"E02002367"	"0"	"11"	86
"E02002367"	"0"	"12"	12
"E02002367"	"0"	"13"	1
"E02002368"	"0"	"7"	709
"E02002368"	"0"	"8"	1256
"E02002368"	"0"	"9"	1213
"E02002368"	"0"	"10"	402
"E02002368"	"0"	"11"	52
"E02002368"	"0"	"12"	22
"E02002368"	"0"	"13"	3
"E02002369"	"0"	"7"	156
"E02002369"	"0"	"8"	1887
"E02002369"	"0"	"9"	263
"E02002369"	"0"	"10"	695
"E02002369"	"0"	"11"	29
"E02002369"	"0"	"12"	28
"E02002369"	"0"	"13"	0
"E02002370"	"0"	"7"	94
"E02002370"	"0"	"8"	1173
"E02002370"	"0"	"9"	1128
"E02002370"	"0"	"10"	534
"E02002370"	"0"	"11"	13
"E02002370"	"0"	"12"	9
"E02002370"	"0"	"13"	0
"E02002371"	"0"	"7"	196
"E02002371"	"0"	"8"	1185
"E02002371"	"0"	"9"	1602
"E02002371"	"0"	"10"	823
"E02002371"	"0"	"11"	562
"E02002371"	"0"	"12"	29
"E02002371"	"0"	"13"	0
"E02002373"	"0"	"7"	65
"E02002373"	"0"	"8"	758
"E02002373"	"0"	"9"	1066
"E02002373"	"0"	"10"	421
