"GEOGRAPHY_CODE"	"CELL"	"OBS_VALUE"
"E01000001"	"7"	0
"E01000001"	"8"	2
"E01000001"	"9"	9
"E01000001"	"10"	967
"E01000001"	"11"	13
"E01000001"	"12"	21
"E01000001"	"13"	0
"E01000002"	"7"	1
"E01000002"	"8"	1
"E01000002"	"9"	34
"E01000002"	"10"	917
"E01000002"	"11"	2
"E01000002"	"12"	21
"E01000002"	"13"	0
"E01000003"	"7"	0
"E01000003"	"8"	0
"E01000003"	"9"	3
"E01000003"	"10"	877
"E01000003"	"11"	3
"E01000003"	"12"	4
"E01000003"	"13"	0
"E01000005"	"7"	1
"E01000005"	"8"	1
"E01000005"	"9"	0
"E01000005"	"10"	494
"E01000005"	"11"	11
"E01000005"	"12"	21
"E01000005"	"13"	0
"E01032739"	"7"	11
"E01032739"	"8"	4
"E01032739"	"9"	19
"E01032739"	"10"	789
"E01032739"	"11"	89
"E01032739"	"12"	155
"E01032739"	"13"	0
"E01032740"	"7"	9
"E01032740"	"8"	4
"E01032740"	"9"	15
"E01032740"	"10"	716
"E01032740"	"11"	91
"E01032740"	"12"	225
"E01032740"	"13"	0
