"GEOGRAPHY_CODE"	"C2021_DEP_6"	"OBS_VALUE"
"E09000001"	"0"	4914
"E09000001"	"1"	2937
"E09000001"	"2"	1547
"E09000001"	"3"	347
"E09000001"	"4"	75
"E09000001"	"5"	8
"E09000012"	"0"	106081
"E09000012"	"1"	47686
"E09000012"	"2"	34486
"E09000012"	"3"	16971
"E09000012"	"4"	6333
"E09000012"	"5"	605
"E09000013"	"0"	81244
"E09000013"	"1"	41748
"E09000013"	"2"	25243
"E09000013"	"3"	10555
"E09000013"	"4"	3319
"E09000013"	"5"	379
"E09000014"	"0"	105095
"E09000014"	"1"	45524
"E09000014"	"2"	35580
"E09000014"	"3"	17629
"E09000014"	"4"	5755
"E09000014"	"5"	607
"E09000019"	"0"	96496
"E09000019"	"1"	46657
"E09000019"	"2"	29403
"E09000019"	"3"	14577
"E09000019"	"4"	5409
"E09000019"	"5"	450
"E09000020"	"0"	66884
"E09000020"	"1"	35174
"E09000020"	"2"	20245
"E09000020"	"3"	8121
"E09000020"	"4"	2918
"E09000020"	"5"	426
"E09000022"	"0"	134688
"E09000022"	"1"	67366
"E09000022"	"2"	42725
"E09000022"	"3"	18625
"E09000022"	"4"	5499
"E09000022"	"5"	473
"E09000023"	"0"	122392
"E09000023"	"1"	57783
"E09000023"	"2"	39762
"E09000023"	"3"	18556
"E09000023"	"4"	5755
"E09000023"	"5"	536
"E09000025"	"0"	115507
"E09000025"	"1"	45399
"E09000025"	"2"	41296
"E09000025"	"3"	21230
"E09000025"	"4"	7081
"E09000025"	"5"	501
"E09000028"	"0"	130818
"E09000028"	"1"	63507
"E09000028"	"2"	41817
"E09000028"	"3"	19018
"E09000028"	"4"	6066
"E09000028"	"5"	410
"E09000030"	"0"	120539
"E09000030"	"1"	55936
"E09000030"	"2"	38337
"E09000030"	"3"	18685
"E09000030"	"4"	7054
"E09000030"	"5"	527
"E09000032"	"0"	137392
"E09000032"	"1"	80186
"E09000032"	"2"	38272
"E09000032"	"3"	14425
"E09000032"	"4"	4113
"E09000032"	"5"	396
"E09000033"	"0"	94815
"E09000033"	"1"	47540
"E09000033"	"2"	28839
"E09000033"	"3"	12728
"E09000033"	"4"	5025
"E09000033"	"5"	683
