"InternalHPID","SignatureHPID","UPRN","Price","PricePerSquareMetre","LandRegistryTransactionDate","SquareMetreSource","IndexedPrice","IndexedPricePerSquareMetre","LandRegistryPropertyType","SquareMetreSourcePropertyType","NewBuildFlag","Tenure","CouncilTaxBand","LocalAuthorityCode","SignatureHPIDCentroid_x","SignatureHPIDCentroid_y",
"bc4b4bb1-e0a2-3da3-5354-f61913919a43","e7b433db-a9e5-fdac-39de-ef9ed993a035","95505859","455000","13382.35294117647","2014-08-27","Epc Domestic","558755.65","16433.99","F","Flat","N","L","D","E09000001","531736.249","181561.631",
"8ae40ad0-5929-888f-5e4c-ad116c8d830f","5696338a-e97a-1733-8bc1-5b764862987f","200000072204","59995","1071.3392857142858","1997-09-26","Epc Domestic","486827.36","8693.35","F","Flat","N","L","","E09000001","533546.974","181366.278",
"4a5bdb17-aa2c-855c-1632-3bee01698bb2","c0d8c729-dc7c-38e1-0a0e-9daaa7349be3","200000074264","345000","4662.1621621621625","2005-05-27","Epc Domestic","1034538.22","13980.25","F","Flat","N","L","E","E09000001","532542.227","181717.327",
"83d8dd5c-5327-5a48-faf7-32ee1454d0e5","17818366-bb7a-a6ad-38d5-6aa9c164db38","200000072167","540000","9473.684210526315","2017-01-05","Epc Domestic","615488.72","10798.05","F","Flat","N","L","","E09000001","533546.623","181455.183",
"c24232c9-d318-59b6-055b-f22231bee64d","562b8c7e-ae42-be07-e288-223eb6c03264","200000069316","362000","4958.904109589041","2004-08-06","Epc Domestic","1100868.35","15080.39","F","Flat","N","L","F","E09000001","531829.203","181034.448",
"2427a6a2-c40a-b537-71a5-4c4ba975a892","acb90ca9-8895-4816-57ce-d738613860aa","200000074524","107500","1653.8461538461538","1996-11-27","Epc Domestic","1006892.28","15490.65","F","Flat","N","L","E","E09000001","532550.9176666667","181724.13466666665",
"d3ff2546-fd91-db67-58be-e95a80b3b185","b3519c0d-a0f4-a06d-48e0-9bd909229e1e","95515045","6525000","25193.050193050192","2018-07-13","Epc Domestic","7537889.75","29103.82","F","Flat","Y","L","H","E09000001","533304.562","180576.608",
"bdd649b8-f5c9-1fad-d8a2-1b3675fcf40d","0d729f42-f3f0-2eb5-e02f-9e133052a9af","95514609","750000","15306.122448979591","2017-12-27","Epc Domestic","901054.67","18388.87","F","Flat","N","L","F","E09000001","532029.077","181623.169",
"ba44ca32-f66c-241f-43a7-2ea0a28312b9","70da8256-e417-6d8c-339e-15cc880c3884","95514510","2000000","16528.92561983471","2017-06-23","Epc Domestic","2007843.57","16593.75","F","Flat","Y","L","G","E09000001","532131.354","181987.142",
"0c0b275c-26de-0045-de24-f3a53b25a238","1daae0b6-d58e-49bc-87f3-74dc44186887","200000069462","345000","3833.3333333333335","2000-01-21","Epc Domestic","1855383.91","20615.38","F","Flat","Y","L","G","E09000001","533446.659","180742.528",
"69274731-6c40-abb7-6a8c-847750fd9d90","0bcd23a8-af6c-ac95-38d1-5edf6b644ac7","95513129","1085000","14662.162162162162","2022-05-10","Epc Domestic","1263438.08","17073.49","F","Flat","N","L","F","E09000001","531244.162","181250.553",
"30fab0dc-7b60-01f3-3322-88c0915c744e","0ca8b461-92bf-a850-bf6f-0846f77fed01","200000073223","60000","1578.9473684210527","1995-04-05","Epc Domestic","725739.37","19098.4","F","Flat","N","L","D","E09000001","532203.694","181904.756",
"e7f375ed-a5af-bed0-81f9-607f56fdbb51","1a99c0cc-1628-0284-04ae-7887854278fb","95506166","495000","11250","2013-04-26","Epc Domestic","783734.78","17812.15","F","Flat","N","L","E","E09000001","531241.525","181407.025",
"dc945f60-5c5e-0cd2-7555-110e5bd71416","fb593fc1-897b-65ef-08be-752c36465659","95510779","510000","15937.5","2017-11-17","Epc Domestic","603230.91","18850.97","F","Flat","N","L","D","E09000001","532388.358","181865.999",
"9d43e22a-96a8-2283-9e9f-b5c8e1262abe","86462ce8-63a2-4d54-9235-95c689fa01b3","100022934478","210750","3572.0338983050847","1997-12-23","Epc Domestic","1514280.55","25665.77","F","Flat","N","L","F","E09000001","532216.853","181992.42",
"ab461e84-bb0a-0248-3009-62e8c6dc61ec","9234414c-e6a8-599d-71b5-0e7b1abf8d2a","200000073481","527500","9590.90909090909","2010-10-08","Epc Domestic","1081524.12","19664.07","F","Flat","N","L","E","E09000001","532297.846","181811.646",
"cf3176eb-3137-5262-a700-b52973681af2","0b3e44b1-5498-8f7a-256f-ab872e494c35","200000069189","82500","2062.5","1997-01-17","Epc Domestic","662249.24","16556.23","F","Flat","N","L","D","E09000001","532249.482","180805.924",
"97deabfc-49b9-e503-5210-b96e78284a3d","4cfdfc38-3d58-e16c-bd04-9f73c7c052a6","100020001278","250000","3378.3783783783783","2000-06-07","Epc Domestic","1178617.18","15927.26","F","Flat","N","L","","E09000001","533012.7093333333","180732.99233333333",
"cdeb7d2b-e15f-7e5f-40b4-a32cc9403674","f66fe1cc-2eea-cb6a-a2b0-34a020fa3306","100022924516","130000","3250","1996-06-18","Epc Domestic","1062691.67","26567.29","F","Flat","Y","L","F","E09000001","532064.108","181510.886",
"282c2f97-becb-cd50-029c-47b75ee68228","df7c7b56-c365-2ecd-ff1b-e5fa90c187f5","95500494","525000","9905.66037735849","2012-06-13","Epc Domestic","905012.51","17075.71","F","Flat","N","L","F","E09000001","532110.668","181638.855",
"c8954390-f300-12fe-fbf1-1ffa15787dff","df7c7b56-c365-2ecd-ff1b-e5fa90c187f5","95500444","150950","2959.8039215686276","2001-01-29","Epc Domestic","496068.05","9726.82","F","Flat","Y","L","E","E09000001","532110.668","181638.855",
"241e41fd-9b77-a0b6-4b48-91006d003571","773aaa9e-efeb-e25e-bc4f-f9578d35c55a","200000073284","330000","3548.3870967741937","2003-05-01","Epc Domestic","1081818.06","11632.45","F","Flat","N","L","F","E09000001","532141.566","181939.821",
"808cba2a-fe23-8fdd-8a83-31d31146478b","67d18c91-a0e7-dd9e-4d86-7c701ea4b3ba","95514640","1392000","16376.470588235294","2018-02-14","Epc Domestic","1661759.54","19550.11","F","Flat","Y","L","G","E09000001","532018.741","181688.305",
"e84fb0c4-e726-fd42-dfd9-acf5edf3920e","1ffbcef5-c323-494c-613b-c3aad0020857","100022936431","1700000","10691.82389937107","2006-09-26","Epc Domestic","4206176.92","26453.94","F","House","N","F","H","E09000001","532742.319","180837.644",
"fea8f39a-edcd-88d2-b6a3-ebd9bb64efa0","32152c42-a8bd-fadb-d7ee-17c20a5f15ad","95509833","385000","10131.578947368422","2007-07-24","Epc Domestic","769541.78","20251.1","F","Flat","N","L","E","E09000001","532074.934","181896.893",
"e0f42ed6-3b4b-b92f-2dce-313f089745b4","70da8256-e417-6d8c-339e-15cc880c3884","95514511","3700000","22981.36645962733","2017-04-20","Epc Domestic","3816318.33","23703.84","F","Maisonette","Y","L","H","E09000001","532131.354","181987.142",
"d4dca0de-cb0a-cf0a-da18-a099323f9f3a","9f2b3b45-07fa-be45-a873-f6490ff0d11c","100020000997","960000","12631.578947368422","2014-11-28","Epc Domestic","1177113.91","15488.34","F","Flat","N","L","G","E09000001","531821.542","181165.337",
